experiment,seed,requester_rrid,address,length,operation,M4_config,REF_config,enable,configured,M4_result,REF_result,same,difference_classification,explanation
DIFF-0179,179,1,0x200004c0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0180,180,1,0x20000c10,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0181,181,1,0x20000c40,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0182,182,1,0x20000c30,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0183,183,2,0x20000fd8,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0184,184,1,0x20000a9c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0185,185,2,0x20000e9c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0186,186,2,0x20000264,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0187,187,1,0x20000290,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0188,188,2,0x20000c28,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0189,189,2,0x20000f9c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0190,190,1,0x20000930,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0191,191,2,0x20000324,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0192,192,2,0x20000550,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0193,193,2,0x200001c8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0194,194,1,0x200005c0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0195,195,2,0x200007b4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0196,196,1,0x20000eb4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0197,197,2,0x2000050c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0198,198,2,0x20000d90,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0199,199,1,0x20000c4c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0200,200,1,0x20000b7c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0201,201,2,0x20000ca8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0202,202,2,0x20000190,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0203,203,2,0x20000928,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0204,204,1,0x20000700,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0205,205,2,0x20000460,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0206,206,2,0x200009e0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0207,207,1,0x20000434,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0208,208,2,0x20000438,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0209,209,2,0x200008b8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0210,210,1,0x20000f68,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0211,211,1,0x200003ac,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0212,212,2,0x20000cb4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0213,213,2,0x20000ca0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0214,214,1,0x20000860,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0215,215,2,0x20000374,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0216,216,1,0x20000a7c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0217,217,1,0x20000ed8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0218,218,1,0x20000478,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0219,219,2,0x20000780,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0220,220,1,0x20000d68,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0221,221,2,0x20000328,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0222,222,2,0x200008f0,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0223,223,1,0x20000b98,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0224,224,1,0x20000b78,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0225,225,2,0x20000e8c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0226,226,2,0x2000019c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0227,227,1,0x20000690,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0228,228,1,0x20000774,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0229,229,2,0x200004a0,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0230,230,1,0x20000384,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0231,231,1,0x2000079c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0232,232,1,0x2000040c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0233,233,1,0x20000f3c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0234,234,1,0x20000714,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0235,235,1,0x200009a4,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0236,236,1,0x20000cd8,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0237,237,2,0x20000294,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0238,238,1,0x20000a64,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0239,239,1,0x20000dc4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0240,240,2,0x200006e0,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0241,241,1,0x20000cc0,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0242,242,1,0x20000bf8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0243,243,2,0x200002e8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0244,244,1,0x20000bec,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0245,245,1,0x20000a8c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0246,246,1,0x20000d88,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0247,247,2,0x200009fc,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0248,248,1,0x2000072c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0249,249,1,0x200003ac,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0250,250,1,0x200000d4,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0251,251,2,0x200000ec,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0252,252,1,0x20000030,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0253,253,2,0x200000f8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0254,254,1,0x20000508,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0255,255,2,0x200002b4,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0256,256,1,0x20000194,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0257,257,1,0x20000f88,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0258,258,1,0x200003a4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0259,259,2,0x200009dc,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0260,260,1,0x200009a4,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0261,261,2,0x20000940,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0262,262,2,0x20000c28,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0263,263,1,0x20000b54,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0264,264,1,0x2000027c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0265,265,1,0x20000d5c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0266,266,2,0x20000eb8,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0267,267,2,0x20000360,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0268,268,1,0x200009ec,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0269,269,1,0x20000270,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0270,270,1,0x20000b2c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0271,271,2,0x20000348,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0272,272,2,0x20000268,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0273,273,1,0x20000e5c,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0274,274,2,0x20000a54,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0275,275,2,0x2000022c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0276,276,2,0x20000b40,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0277,277,1,0x200001d0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0278,278,2,0x200002e0,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0279,279,1,0x20000150,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0280,280,2,0x20000f38,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0281,281,2,0x20000afc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0282,282,1,0x20000140,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0283,283,1,0x20000514,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0284,284,1,0x200001ac,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0285,285,2,0x20000304,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0286,286,1,0x200004cc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0287,287,1,0x20000c88,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0288,288,1,0x20000a80,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0289,289,2,0x200002fc,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0290,290,1,0x20000b98,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0291,291,1,0x20000624,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0292,292,1,0x2000033c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0293,293,1,0x20000134,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0294,294,2,0x20000c0c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0295,295,2,0x2000054c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0296,296,1,0x20000798,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0297,297,2,0x20000e5c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0298,298,2,0x20000634,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0299,299,2,0x20000904,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0300,300,1,0x2000052c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0301,301,2,0x20000800,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0302,302,1,0x200003fc,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0303,303,1,0x200004b4,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0304,304,1,0x20000e6c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0305,305,2,0x20000cac,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0306,306,1,0x20000bfc,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0307,307,1,0x20000ab8,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0308,308,1,0x20000f1c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0309,309,1,0x20000e58,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0310,310,2,0x200006e4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0311,311,1,0x20000d88,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0312,312,1,0x20000d6c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0313,313,2,0x20000ffc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0314,314,1,0x200007bc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0315,315,1,0x20000b48,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0316,316,2,0x20000b88,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0317,317,1,0x200000a4,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0318,318,2,0x2000081c,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0319,319,1,0x200007b4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0320,320,2,0x20000aa0,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0321,321,1,0x20000edc,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0322,322,1,0x20000450,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0323,323,1,0x20000164,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0324,324,2,0x200009ec,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0325,325,2,0x20000818,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0326,326,1,0x20000184,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0327,327,1,0x20000bc4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0328,328,1,0x20000ad8,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0329,329,1,0x20000888,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0330,330,2,0x200005c4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0331,331,1,0x20000974,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0332,332,1,0x20000b3c,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0333,333,2,0x20000de8,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0334,334,2,0x20000cfc,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0335,335,2,0x20000490,4,read,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0336,336,2,0x20000408,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0337,337,1,0x20000108,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0338,338,2,0x20000be4,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0339,339,1,0x20000a0c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0340,340,1,0x200005f4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0341,341,1,0x20000854,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0342,342,1,0x20000fb4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0343,343,1,0x20000e3c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0344,344,2,0x20000a38,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0345,345,2,0x20000948,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0346,346,2,0x20000590,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0347,347,1,0x2000066c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0348,348,1,0x20000b8c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0349,349,1,0x20000424,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0350,350,1,0x20000f50,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0351,351,2,0x2000025c,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0352,352,1,0x20000b04,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0353,353,1,0x20000420,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0354,354,1,0x200004e4,4,write,C1,REF-C1,True,False,DENY,DENY,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0355,355,2,0x20000914,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0356,356,1,0x200008c8,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0357,357,1,0x20000564,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0358,358,1,0x20000acc,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
